col_a,col_b,metric,score
change,had_inpatient_days,ContingencySimilarity,0.9640666666666666
A1Cresult,medicaid,ContingencySimilarity,0.9642
age,A1Cresult,ContingencySimilarity,0.9642666666666667
age,max_glu_serum,ContingencySimilarity,0.9644666666666667
discharge_disposition_id,had_emergency,ContingencySimilarity,0.9646666666666667
A1Cresult,had_inpatient_days,ContingencySimilarity,0.9683333333333333
max_glu_serum,had_emergency,ContingencySimilarity,0.9686
discharge_disposition_id,diabetesMed,ContingencySimilarity,0.9701333333333333
age,had_emergency,ContingencySimilarity,0.9708666666666667
age,medicaid,ContingencySimilarity,0.9717333333333333
discharge_disposition_id,medicaid,ContingencySimilarity,0.9734666666666667
discharge_disposition_id,had_inpatient_days,ContingencySimilarity,0.9734666666666667
max_glu_serum,had_inpatient_days,ContingencySimilarity,0.9746666666666667
had_emergency,had_inpatient_days,ContingencySimilarity,0.9794
diabetesMed,medicaid,ContingencySimilarity,0.9798666666666667
diabetesMed,had_inpatient_days,ContingencySimilarity,0.9805333333333334
medicaid,had_inpatient_days,ContingencySimilarity,0.9814666666666667
max_glu_serum,diabetesMed,ContingencySimilarity,0.9820666666666666
medicaid,had_emergency,ContingencySimilarity,0.9823999999999999
diabetesMed,had_emergency,ContingencySimilarity,0.9824
max_glu_serum,medicaid,ContingencySimilarity,0.9836666666666666
